Data	PnL_Lordo	PnL_Netto_Euro	Cumulata_Euro
2025-06-19	0.0	0.0	-1196.0
2025-06-20	0.0	0.0	-1196.0
2025-06-24	-0.31	-316.0	-1512.0
2025-06-25	-0.3	-306.0	-1818.0
2025-06-26	0.0	0.0	-1818.0
2025-06-27	-0.3	-306.0	-2124.0
2025-07-01	0.0	0.0	-2124.0
2025-07-02	0.04	34.0	-2090.0
2025-07-03	0.0	0.0	-2090.0
2025-07-04	0.0	0.0	-2090.0
2025-07-08	0.05	44.0	-2046.0
2025-07-09	0.0	0.0	-2046.0
2025-07-10	0.23	224.0	-1822.0
2025-07-11	0.0	0.0	-1822.0
2025-07-15	0.0	0.0	-1822.0
2025-07-16	0.0	0.0	-1822.0
2025-07-17	0.0	0.0	-1822.0
2025-07-18	0.0	0.0	-1822.0
2025-07-22	0.02	14.0	-1808.0
2025-07-23	-0.3	-306.0	-2114.0
2025-07-24	0.0	0.0	-2114.0
2025-07-25	0.0	0.0	-2114.0
2025-07-29	0.0	0.0	-2114.0
2025-07-30	0.0	0.0	-2114.0
2025-07-31	0.0	0.0	-2114.0
2025-08-01	0.0	0.0	-2114.0
2025-08-05	0.0	0.0	-2114.0
2025-08-06	0.0	0.0	-2114.0
2025-08-07	0.0	0.0	-2114.0
2025-08-08	0.0	0.0	-2114.0
2025-08-12	0.07	64.0	-2050.0
2025-08-13	0.0	0.0	-2050.0
2025-08-14	0.0	0.0	-2050.0
2025-08-15	0.0	0.0	-2050.0
2025-08-19	0.0	0.0	-2050.0
2025-08-20	0.0	0.0	-2050.0
2025-08-21	0.0	0.0	-2050.0
2025-08-22	0.0	0.0	-2050.0
2025-08-26	0.0	0.0	-2050.0
2025-08-27	0.0	0.0	-2050.0
2025-08-28	0.0	0.0	-2050.0
2025-08-29	0.0	0.0	-2050.0
2025-09-02	0.4	394.0	-1656.0
2025-09-03	0.0	0.0	-1656.0
2025-09-04	0.0	0.0	-1656.0
2025-09-05	0.0	0.0	-1656.0
2025-09-09	0.11	104.0	-1552.0
2025-09-10	0.0	0.0	-1552.0
2025-09-11	0.0	0.0	-1552.0
2025-09-12	0.0	0.0	-1552.0
2025-09-16	0.0	0.0	-1552.0
2025-09-17	0.0	0.0	-1552.0
2025-09-18	0.0	0.0	-1552.0
2025-09-19	0.0	0.0	-1552.0
2025-09-23	0.0	0.0	-1552.0
2025-09-24	0.0	0.0	-1552.0
2025-09-25	0.0	0.0	-1552.0
2025-09-26	0.0	0.0	-1552.0
2025-09-30	0.0	0.0	-1552.0
2025-10-01	-0.16	-166.0	-1718.0
2025-10-02	0.0	0.0	-1718.0
2025-10-03	-0.09	-96.0	-1814.0
2025-10-07	0.0	0.0	-1814.0
2025-10-08	0.0	0.0	-1814.0
2025-10-09	0.0	0.0	-1814.0
2025-10-10	0.0	0.0	-1814.0
2025-10-14	0.0	0.0	-1814.0
2025-10-15	0.0	0.0	-1814.0
2025-10-16	0.0	0.0	-1814.0
2025-10-17	0.0	0.0	-1814.0
2025-10-21	0.0	0.0	-1814.0
2025-10-22	0.0	0.0	-1814.0
2025-10-23	0.0	0.0	-1814.0
2025-10-24	0.0	0.0	-1814.0
2025-10-28	0.0	0.0	-1814.0
2025-10-29	0.0	0.0	-1814.0
2025-10-30	0.0	0.0	-1814.0
2025-10-31	0.0	0.0	-1814.0
2025-11-04	0.0	0.0	-1814.0
2025-11-05	0.0	0.0	-1814.0
2025-11-06	0.0	0.0	-1814.0
2025-11-07	-0.1	-106.0	-1920.0
2025-11-11	0.0	0.0	-1920.0
2025-11-12	0.17	164.0	-1756.0
2025-11-13	0.0	0.0	-1756.0
2025-11-14	0.25	244.0	-1512.0
2025-11-18	0.0	0.0	-1512.0
2025-11-19	0.0	0.0	-1512.0
2025-11-20	0.0	0.0	-1512.0
2025-11-21	0.0	0.0	-1512.0
2025-11-25	0.08	74.0	-1438.0
2025-11-26	0.0	0.0	-1438.0
2025-11-27	0.04	34.0	-1404.0
2025-11-28	0.0	0.0	-1404.0
2025-12-02	-0.16	-166.0	-1570.0
2025-12-03	-0.3	-306.0	-1876.0
2025-12-04	0.0	0.0	-1876.0
2025-12-05	0.0	0.0	-1876.0
2025-12-09	0.0	0.0	-1876.0
2025-12-10	0.0	0.0	-1876.0
