pnl,dir,ix,ts,cumul,year
-0.2,LONG,19137,2023-09-15 14:00:00,1.5700000000000058,2023
-0.37,LONG,19165,2023-09-19 14:00:00,1.200000000000006,2023
-0.34,LONG,19193,2023-09-21 14:00:00,0.8600000000000059,2023
0.53,LONG,19202,2023-09-22 09:00:00,1.390000000000006,2023
-0.37,LONG,19218,2023-09-25 11:00:00,1.0200000000000058,2023
-0.38,LONG,19252,2023-09-27 17:00:00,0.6400000000000058,2023
-0.35,LONG,19254,2023-09-27 19:00:00,0.2900000000000058,2023
-0.36,LONG,19259,2023-09-28 10:00:00,-0.06999999999999418,2023
-0.39,LONG,19263,2023-09-28 14:00:00,-0.4599999999999942,2023
-0.45,SHORT,20801,2024-03-05 14:00:00,-0.9099999999999941,2024
0.69,SHORT,20810,2024-03-06 09:00:00,-0.2199999999999942,2024
0.68,LONG,20829,2024-03-07 14:00:00,0.46000000000000585,2024
0.68,SHORT,20870,2024-03-12 13:00:00,1.140000000000006,2024
-0.39,LONG,20884,2024-03-13 13:00:00,0.7500000000000059,2024
-0.37,LONG,20893,2024-03-14 08:00:00,0.3800000000000059,2024
-0.34,LONG,20900,2024-03-14 15:00:00,0.040000000000005864,2024
-0.37,LONG,20924,2024-03-18 11:00:00,-0.32999999999999413,2024
0.48,LONG,20950,2024-03-20 09:00:00,0.15000000000000585,2024
0.49,SHORT,20960,2024-03-20 19:00:00,0.6400000000000059,2024
-0.37,SHORT,20982,2024-03-22 13:00:00,0.2700000000000059,2024
-0.37,SHORT,21023,2024-03-27 12:00:00,-0.0999999999999941,2024
0.46,SHORT,21047,2024-04-02 08:00:00,0.3600000000000059,2024
-0.32,LONG,21051,2024-04-02 12:00:00,0.04000000000000592,2024
-0.35,LONG,21054,2024-04-02 15:00:00,-0.30999999999999406,2024
0.54,LONG,21064,2024-04-03 11:00:00,0.23000000000000598,2024
0.53,SHORT,21068,2024-04-03 15:00:00,0.760000000000006,2024
0.57,LONG,21081,2024-04-04 14:00:00,1.3300000000000058,2024
0.6,SHORT,21095,2024-04-05 14:00:00,1.930000000000006,2024
0.59,LONG,21124,2024-04-09 15:00:00,2.520000000000006,2024
0.51,SHORT,21137,2024-04-10 14:00:00,3.0300000000000056,2024
-0.4,LONG,21142,2024-04-10 19:00:00,2.6300000000000057,2024
-0.95,SHORT,21165,2024-04-12 14:00:00,1.6800000000000057,2024
0.74,SHORT,21174,2024-04-15 09:00:00,2.4200000000000057,2024
0.71,LONG,21215,2024-04-18 08:00:00,3.1300000000000057,2024
0.63,SHORT,21224,2024-04-18 17:00:00,3.7600000000000056,2024
0.63,LONG,21257,2024-04-23 08:00:00,4.390000000000006,2024
-0.38,LONG,21276,2024-04-24 13:00:00,4.010000000000006,2024
-0.4,LONG,21279,2024-04-24 16:00:00,3.610000000000006,2024
-0.41,LONG,21292,2024-04-25 15:00:00,3.200000000000006,2024
0.6,LONG,21305,2024-04-26 14:00:00,3.800000000000006,2024
0.55,SHORT,21333,2024-04-30 14:00:00,4.350000000000006,2024
0.59,LONG,21346,2024-05-02 13:00:00,4.940000000000006,2024
-0.43,SHORT,21386,2024-05-07 11:00:00,4.510000000000006,2024
-0.2,LONG,21411,2024-05-09 08:00:00,4.310000000000006,2024
-0.32,LONG,21432,2024-05-10 15:00:00,3.990000000000006,2024
-0.33,LONG,21459,2024-05-14 14:00:00,3.660000000000006,2024
0.47,LONG,21469,2024-05-15 10:00:00,4.130000000000006,2024
-0.03,SHORT,21471,2024-05-15 12:00:00,4.100000000000006,2024
-0.34,SHORT,21481,2024-05-16 08:00:00,3.760000000000006,2024
-0.7,LONG,21537,2024-05-22 08:00:00,3.060000000000006,2024
-0.3,LONG,21558,2024-05-23 15:00:00,2.760000000000006,2024
0.58,LONG,21586,2024-05-27 15:00:00,3.340000000000006,2024
0.54,SHORT,21602,2024-05-28 17:00:00,3.880000000000006,2024
-0.11,LONG,21604,2024-05-28 19:00:00,3.7700000000000062,2024
-0.34,LONG,21613,2024-05-29 14:00:00,3.4300000000000064,2024
